Karlsruhe;307755;Baden-Württemberg
Mannheim;305780;Baden-Württemberg
Augsburg;286374;Bayern
Wiesbaden;276218;Hessen
Braunschweig;251364;Niedersachsen
Chemnitz;248645;Sachsen
Kiel;246306;Schleswig-Holstein
Halle (Saale);236991;Sachsen-Anhalt
Magdeburg;235723;Sachsen-Anhalt
Freiburg im Breisgau;226393;Baden-Württemberg
Lübeck;216253;Schleswig-Holstein
Erfurt;210118;Thüringen
Mainz;209779;Rheinland-Pfalz
Rostock;206011;Mecklenburg-Vorpommern
Kassel;197984;Hessen
Saarbrücken;178151;Saarland
Potsdam;167745;Brandenburg
Ludwigshafen am Rhein;164718;Rheinland-Pfalz
Oldenburg;163830;Niedersachsen
Osnabrück;162403;Niedersachsen
Heidelberg;156267;Baden-Württemberg
Darmstadt;155353;Hessen
Regensburg;145465;Bayern
Ingolstadt;132438;Bayern
Würzburg;124873;Bayern
Fürth;124171;Bayern
Wolfsburg;124045;Niedersachsen
Offenbach am Main;123734;Hessen
Ulm;122636;Baden-Württemberg
Heilbronn;122567;Baden-Württemberg
Pforzheim;122247;Baden-Württemberg
Göttingen;118914;Niedersachsen
Trier;114914;Rheinland-Pfalz
Reutlingen;114310;Baden-Württemberg
Bremerhaven;114025;Bremen
Koblenz;112586;Rheinland-Pfalz
Jena;109527;Thüringen
Erlangen;108336;Bayern
Hildesheim;101667;Niedersachsen
Salzgitter;101079;Niedersachsen
Cottbus;99687;Brandenburg
Kaiserslautern;98520;Rheinland-Pfalz
Schwerin;96800;Mecklenburg-Vorpommern
Gera;96011;Thüringen
Ludwigsburg;92973;Baden-Württemberg
Hanau;92643;Hessen
Esslingen am Neckar;91271;Baden-Württemberg
Zwickau;91123;Sachsen
Tübingen;87464;Baden-Württemberg
Flensburg;85942;Schleswig-Holstein
Villingen-Schwenningen;84674;Baden-Württemberg
Gießen;84455;Hessen
Dessau-Roßlau;82919;Sachsen-Anhalt
Konstanz;82859;Baden-Württemberg
Worms;82102;Rheinland-Pfalz
Neumünster;79197;Schleswig-Holstein
Norderstedt;76712;Schleswig-Holstein
Delmenhorst;76323;Niedersachsen
Wilhelmshaven;75995;Niedersachsen
Lüneburg;74072;Niedersachsen
Marburg;73836;Hessen
Bamberg;73331;Bayern
Bayreuth;72148;Bayern
Brandenburg an der Havel;71574;Brandenburg
Celle;69748;Niedersachsen
Landshut;69211;Bayern
Aschaffenburg;68986;Bayern
Dinslaken;67452;Nordrhein-Westfalen
Aalen;67344;Baden-Württemberg
Fulda;67253;Hessen
Lippstadt;67233;Nordrhein-Westfalen
Kempten (Allgäu);66947;Bayern
